user,pass,Buyer,Mr. Customer,mail@jkf.com,Dhaka
user1,pass,Buyer,Mrs. Customer,mail@jkf.com,Dhaka
user2,pass,Buyer,Ms. Customer,mail@jkf.com,Dhaka
spider,paris,Seller,Mr. Saler,mail@jkf.com,Dhaka
spock,pass,Buyer,Sheldon Cooper,kjdashdkas2@bjsd.com,California
sakib,pass,Buyer,Sakib Hasan,sakib@gmail.com,Bangladesh
kfc,pass,Seller,KFC,kfc@mail.com,No way
sw,pass,Seller,Subway,subway@email.com,123 Dhaka 1200
bfc,pass,Seller,BFC,bfc@gmail.com,27 Dhaka 1300
mcd,pass,Seller,McDonalds,mail@mail.com, 454 Dhanmondi Dhaka
